3808 17:43:40.615355 W | PID: 3644 | 6808 17:43:40.132294 [3644:6808:WARNING:resource_bundle.cc(252)] locale_file_path.empty()
3808 17:43:40.832334 W | PID: 3644 | 6788 17:43:40.822333 [6412:3964:WARNING:resource_bundle.cc(252)] locale_file_path.empty()
3808 17:43:40.832334 W | PID: 3644 | 6788 17:43:40.822333 [1976:4392:WARNING:resource_bundle.cc(252)] locale_file_path.empty()
3808 17:43:40.832334 W | PID: 3644 | 6788 17:43:40.822333 [5024:6856:WARNING:resource_bundle.cc(252)] locale_file_path.empty()
3808 17:43:40.832334 W | PID: 3644 | 6788 17:43:40.822333 [6588:6376:WARNING:resource_bundle.cc(252)] locale_file_path.empty()
3808 17:43:41.332363 W | PID: 3644 | 6808 17:43:41.331363 [3644:6808:WARNING:(0)] locale_file_path.empty()
3808 17:43:42.282420 W | PID: 3644 | 6808 17:43:42.266416 Requesting resource read for coui://ui/main/_i18n/locales/en-us/special_icon_atlas.json with internal id 43 reported FAIL
3808 17:43:42.282420 W | PID: 3644 | 6808 17:43:42.266416 Requesting resource read for coui://ui/main/_i18n/locales/en-us/icon_atlas.json with internal id 44 reported FAIL
3808 17:43:42.283419 W | PID: 3644 | 6808 17:43:42.282420 Requesting resource read for coui://ui/main/_i18n/locales/en-us/main.json with internal id 45 reported FAIL
3808 17:43:42.283419 W | PID: 3644 | 6808 17:43:42.283419 Requesting resource read for coui://ui/main/_i18n/locales/en/special_icon_atlas.json with internal id 46 reported FAIL
3808 17:43:42.299420 W | PID: 3644 | 6808 17:43:42.283419 Requesting resource read for coui://ui/main/_i18n/locales/en/icon_atlas.json with internal id 47 reported FAIL
3808 17:43:42.299420 W | PID: 3644 | 6808 17:43:42.299420 Requesting resource read for coui://ui/main/_i18n/locales/dev/special_icon_atlas.json with internal id 48 reported FAIL
3808 17:43:42.315449 W | PID: 3644 | 6808 17:43:42.299420 Requesting resource read for coui://ui/main/_i18n/locales/dev/icon_atlas.json with internal id 49 reported FAIL
3808 17:43:42.317420 W | PID: 3644 | 6808 17:43:42.316419 Requesting resource read for coui://ui/main/_i18n/locales/en/main.json with internal id 50 reported FAIL
3808 17:43:42.332483 W | PID: 3644 | 6788 17:43:42.317420 Could not recognize the mime type of coui://ui/main/_i18n/locales/en-us/shared.json
3808 17:43:42.332483 W | PID: 3644 | 6788 17:43:42.317420 Could not recognize the mime type of coui://ui/main/_i18n/locales/en-us/shared.json
3808 17:43:42.333420 W | PID: 3644 | 6808 17:43:42.332483 Requesting resource read for coui://ui/main/_i18n/locales/dev/main.json with internal id 53 reported FAIL
3808 17:43:42.333420 W | PID: 3644 | 6788 17:43:42.333420 Could not recognize the mime type of coui://ui/main/_i18n/locales/en/shared.json
3808 17:43:42.349430 W | PID: 3644 | 6788 17:43:42.333420 Could not recognize the mime type of coui://ui/main/_i18n/locales/en/shared.json
3808 17:43:42.350422 W | PID: 3644 | 6788 17:43:42.349430 Could not recognize the mime type of coui://ui/main/_i18n/locales/dev/shared.json
3808 17:43:42.350422 W | PID: 3644 | 6788 17:43:42.350422 Could not recognize the mime type of coui://ui/main/_i18n/locales/dev/shared.json
3808 17:43:42.365423 W | PID: 3644 | 6788 17:43:42.350422 Could not recognize the mime type of coui://ui/main/_i18n/locales/en-us/shared.json
3808 17:43:42.399424 W | PID: 3644 | 6788 17:43:42.382424 Could not recognize the mime type of coui://ui/main/_i18n/locales/en/shared.json
3808 17:43:42.432428 W | PID: 3644 | 6788 17:43:42.416426 Could not recognize the mime type of coui://ui/main/_i18n/locales/dev/shared.json
3808 17:43:42.450428 W | PID: 3644 | 6808 17:43:42.436426 Requesting resource read for coui://ui/main/atlas/special_icon_atlas/img/icons/icons_command_attack_move.png with internal id 69 reported FAIL
